id,artist.name,project.name,weeks.nr1,number.collaborators,weeks.nr1.adj,award,type,city.origin,kreis.origin,state.origin,running.number
"KitschKrieg feat.  Trettmann,  Gringo,  Ufo361   Gzuz-Standard-single",Ufo361,Standard,2,4,0.5,1 × Platin,single,Berlin,Berlin,Berlin,187
Kollegah-King-album,Kollegah,King,1,1,1,3× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,188
Kollegah-Zuhältertape Volume 4-album,Kollegah,Zuhältertape Volume 4,1,1,1,1× Platin,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,189
Kollegah-Imperator-album,Kollegah,Imperator,1,1,1,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,190
Kollegah-Monument-album,Kollegah,Monument,1,1,1,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,191
Kollegah-Alphagene II-album,Kollegah,Alphagene II,1,1,1,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,192
Kollegah   Asche-Natural Born Killas-album,Kollegah,Natural Born Killas,1,2,0.5,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,193
Kollegah   Asche-Natural Born Killas-album,Asche,Natural Born Killas,1,2,0.5,NA,album,Bochum,Bochum,Nordrhein-Westfalen,194
"Kollegah   Farid Bang-Jung, brutal, gutaussehend 2-album",Kollegah,"Jung, brutal, gutaussehend 2",1,2,0.5,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,195
"Kollegah   Farid Bang-Jung, brutal, gutaussehend 2-album",Farid Bang,"Jung, brutal, gutaussehend 2",1,2,0.5,1× Gold,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,196
Kollegah   Farid Bang-Jung Brutal Gutaussehend 3-album,Kollegah,Jung Brutal Gutaussehend 3,1,2,0.5,1× Platin,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,197
Kollegah   Farid Bang-Jung Brutal Gutaussehend 3-album,Farid Bang,Jung Brutal Gutaussehend 3,1,2,0.5,1× Platin,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,198
Kollegah   Farid Bang-Platin war gestern-album,Kollegah,Platin war gestern,1,2,0.5,NA,album,Düsseldorf,Düsseldorf,Nordrhein-Westfalen,199
